-------- --------------
 host_id hostname
-------- --------------
     232 c0-0c2s8
     233 c0-0c2s9
     234 c0-0c2s10
     235 c0-0c2s11
     236 c0-0c2s12
     237 c0-0c2s13
     238 c0-0c2s14
     239 c0-0c2s15
     240 c0-0
     241 c0-0c0s0a0
     242 c0-0c0s1a0
     243 c0-0c0s2a0
     244 c0-0c0s3a0
     245 c0-0c0s4a0
     246 c0-0c0s5a0
     247 c0-0c0s6a0
     248 c0-0c0s7a0
     249 c0-0c0s8a0
     250 c0-0c0s9a0
     251 c0-0c0s10a0
     252 c0-0c0s11a0
     253 c0-0c0s12a0
     254 c0-0c0s13a0
     255 c0-0c0s14a0
     256 c0-0c0s15a0
     257 c0-0c1s0a0
     258 c0-0c1s1a0
     259 c0-0c1s2a0
     260 c0-0c1s3a0
     261 c0-0c1s4a0
     262 c0-0c1s5a0
     263 c0-0c1s6a0
     264 c0-0c1s7a0
     265 c0-0c1s8a0
     266 c0-0c1s9a0
     267 c0-0c1s10a0
     268 c0-0c1s11a0
     269 c0-0c1s12a0
     270 c0-0c1s13a0
     271 c0-0c1s14a0
     272 c0-0c1s15a0
     273 c0-0c2s0a0
     274 c0-0c2s1a0
     275 c0-0c2s2a0
     276 c0-0c2s3a0
     277 c0-0c2s4a0
     278 c0-0c2s5a0
     279 c0-0c2s6a0
     280 c0-0c2s7a0
     281 c0-0c2s8a0
     282 c0-0c2s9a0
     283 c0-0c2s10a0
     284 c0-0c2s11a0
     285 c0-0c2s12a0
     286 c0-0c2s13a0
     287 c0-0c2s14a0
     288 c0-0c2s15a0
     289 smw
     290 mutrino-smw
     291 boot-smw
     292 power
     293 pwrn
     294 pwrn01
     295 cdl
     296 login-external
     297 mutrino-ext
     298 mutrino-moab
     299 moab
     300 boot001
     301 lnet1
     302 mom1
     303 ssd1
     304 dvs1
     305 ssd2
     306 sdb002
     307 lnet2
     308 mom2
     309 ssd3
     310 mutrino
     311 login
     312 login1
     313 mutrino-int
     314 ssd4
     315 boot002
     316 lnet3
     317 dvs2
     318 ssd5
     319 sdb001
     320 sdb1
     321 ssd6
     322 boot
     323 sdb
     324 ufs
     325 10.1.0.1
     326 10.1.1.1
     327 10.2.1.1
     328 10.3.1.1
     329 127.0.0.1
     330 172.30.55.84
     331 205.137.89.100
     332 s0
     333 cst84
-------- --------------
